,0,1,2
0,4982,42.33942,-71.15852
1,11,42.33942,-71.15852
2,960,42.34209,-71.14963
3,1198,42.344066,-71.142154
4,3930,42.346921,-71.136604
5,320,42.32394,-71.08226
6,1127,42.312525,-71.057507
7,4357,42.31227,-71.05173
8,4010,42.300819,-71.058991
9,3845,42.29309,-71.08888
10,1850,42.30195,-71.10566
11,2812,42.28604,-71.10895
12,1812,42.27933,-71.08883
13,3698,42.26969,-71.12047
14,2776,42.27788,-71.12172
15,4990,42.28206,-71.16212
16,2006,42.29105,-71.16536
17,881,42.297689,-71.172977
18,1131,42.301015,-71.166797
19,1164,42.301344,-71.165803
20,3900,42.29155,-71.15811
21,1232,42.31448,-71.09417
22,466,42.31018,-71.08594
23,1586,42.29283,-71.07366
24,1921,42.30292,-71.07026
25,2172,42.31943,-71.07824
26,506,42.34336,-71.14455
27,1875,42.34248,-71.14486
28,6,42.333614,-71.153143
29,3103,42.29106,-71.13906
30,740,42.28863,-71.14411
31,1298,42.27394,-71.14983
32,2409,42.25598,-71.15854
33,2939,42.260359,-71.152087
34,723,42.31872,-71.10804
35,2936,42.3414,-71.08812
36,4142,42.346839,-71.088403
37,2994,42.346839,-71.088403
38,1104,42.3484,-71.07047
39,1085,42.356884,-71.059129
40,1701,42.3669,-71.05369
41,3188,42.36679,-71.05916
42,3654,42.36679,-71.05916
43,163,42.361728,-71.063264
44,608,42.361728,-71.063264
45,1263,42.3582,-71.06238
46,1299,42.351948,-71.071587
47,40,42.351948,-71.071587
48,3775,42.35154,-71.08595
49,4258,42.35066,-71.08912
50,4389,42.34991,-71.08861
51,1858,42.34125,-71.07039
52,2008,42.34125,-71.07039
53,4166,42.34221,-71.07017
54,3755,42.37309,-71.03431
55,372,42.37999,-71.026699
56,3276,42.37796,-71.03532
57,4434,42.38047,-71.06535
58,3842,42.38047,-71.06535
59,3974,42.36072,-71.12981
