0,3842,42.38047,-71.06535
1,4434,42.38047,-71.06535
2,3276,42.37796,-71.03532
3,372,42.37999,-71.026699
4,3755,42.37309,-71.03431
5,1701,42.3669,-71.05369
6,1085,42.356884,-71.059129
7,1850,42.30195,-71.10566
8,2776,42.27788,-71.12172
9,3698,42.26969,-71.12047
10,2939,42.260359,-71.152087
11,2409,42.25598,-71.15854
12,1298,42.27394,-71.14983
13,4990,42.28206,-71.16212
14,3900,42.29155,-71.15811
15,2006,42.29105,-71.16536
16,881,42.297689,-71.172977
17,1131,42.301015,-71.166797
18,11,42.33942,-71.15852
19,4982,42.33942,-71.15852
20,6,42.333614,-71.153143
21,1164,42.301344,-71.165803
22,740,42.28863,-71.14411
23,3103,42.29106,-71.13906
24,2812,42.28604,-71.10895
25,1812,42.27933,-71.08883
26,3845,42.29309,-71.08888
27,1586,42.29283,-71.07366
28,1921,42.30292,-71.07026
29,4010,42.300819,-71.058991
30,4357,42.31227,-71.05173
31,1127,42.312525,-71.057507
32,2172,42.31943,-71.07824
33,466,42.31018,-71.08594
34,1232,42.31448,-71.09417
35,723,42.31872,-71.10804
36,320,42.32394,-71.08226
37,2008,42.34125,-71.07039
38,4389,42.34991,-71.08861
39,4258,42.35066,-71.08912
40,3775,42.35154,-71.08595
41,1263,42.3582,-71.06238
42,3188,42.36679,-71.05916
43,3654,42.36679,-71.05916
44,163,42.361728,-71.063264
45,608,42.361728,-71.063264
46,3974,42.36072,-71.12981
47,960,42.34209,-71.14963
48,1875,42.34248,-71.14486
49,506,42.34336,-71.14455
50,1198,42.344066,-71.142154
51,3930,42.346921,-71.136604
52,1858,42.34125,-71.07039
53,4166,42.34221,-71.07017
54,1104,42.3484,-71.07047
55,1299,42.351948,-71.071587
56,40,42.351948,-71.071587
57,2994,42.346839,-71.088403
58,4142,42.346839,-71.088403
59,2936,42.3414,-71.08812
