,NewLat,NewLong
0,42.33743,-71.07521
1,42.31448,-71.09417
2,42.28824,-71.11313
3,42.26925,-71.16656
4,42.3594,-71.0587
5,42.26925,-71.16656
6,42.333614,-71.153143
7,42.333614,-71.153143
8,42.333614,-71.153143
9,42.33942,-71.15852
10,42.28371,-71.06052
11,42.33942,-71.15852
12,42.3372,-71.14985
13,42.312749,-71.083102
14,42.338,-71.15262
15,42.34856,-71.062948
16,42.26456,-71.16362
17,42.347099,-71.038058
18,42.347099,-71.038058
19,42.35085,-71.05682
20,42.259499,-71.163854
21,42.31448,-71.09417
22,42.300965,-71.108558
23,42.320899,-71.092694
24,42.35197,-71.08435
25,42.365976,-71.030423
26,42.25977,-71.11647
27,42.31179,-71.09928
28,42.34856,-71.062948
29,42.36175,-71.135716
30,42.31366,-71.10733
31,42.34901,-71.08384
32,42.2703,-71.08841
33,42.34333,-71.06601
34,42.300965,-71.108558
35,42.293014,-71.123229
36,42.293014,-71.123229
37,42.35365,-71.06385
38,42.356884,-71.059129
39,42.29283,-71.12102
40,42.351948,-71.071587
41,42.28703,-71.12841
42,42.28703,-71.12841
43,42.29112,-71.12345
44,42.29094,-71.12367
45,42.28417,-71.065
46,42.356884,-71.059129
47,42.287584,-71.135246
48,42.351948,-71.071587
49,42.287584,-71.135246
50,42.32295,-71.08186
51,42.351948,-71.071587
52,42.28224,-71.1323
53,42.2783,-71.13409
54,42.27594,-71.13278
55,42.312749,-71.083102
56,42.2693,-71.14869
57,42.26889,-71.14924
58,42.26889,-71.14924
59,42.347099,-71.038058
60,42.36709,-71.05272
61,42.27563,-71.1074
62,42.34848,-71.038813
63,42.26799,-71.15106
64,42.344195,-71.03343
65,42.28703,-71.12841
66,42.26604,-71.15231
67,42.3124,-71.11071
68,42.351948,-71.071587
69,42.26604,-71.15231
70,42.3594,-71.0587
71,42.26146,-71.15148
72,42.380951,-71.031366
73,42.26146,-71.15148
74,42.26146,-71.15148
75,42.347099,-71.038058
76,42.285284,-71.152336
77,42.26146,-71.15148
78,42.26248,-71.1553
79,42.353458,-71.062852
80,42.2619,-71.15603
81,42.26456,-71.16362
82,42.26456,-71.16362
83,42.26412,-71.16138
84,42.25598,-71.15854
85,42.34333,-71.06601
86,42.31325,-71.10015
87,42.36553,-71.02962
88,42.36553,-71.02962
89,42.33349,-71.04346
90,42.34856,-71.062948
91,42.356884,-71.059129
92,42.35085,-71.05682
93,42.353458,-71.062852
94,42.3782,-71.06541
95,42.34856,-71.062948
96,42.34185,-71.08056
97,42.37999,-71.026699
98,42.347099,-71.038058
99,42.347099,-71.038058
100,42.33571,-71.04142
101,42.34848,-71.038813
102,42.34185,-71.08056
103,42.351948,-71.071587
104,42.28965,-71.06553
105,42.37384,-71.06369
106,42.356884,-71.059129
107,42.351948,-71.071587
108,42.344642,-71.070062
109,42.313585,-71.116789
110,42.347099,-71.038058
111,42.32019,-71.05715
112,42.351948,-71.071587
113,42.29029,-71.05602
114,42.287584,-71.135246
115,42.33428,-71.05125
116,42.38047,-71.06535
117,42.380951,-71.031366
118,42.36679,-71.05916
119,42.35874,-71.13327
120,42.26113,-71.11583
121,42.34523,-71.1473
122,42.310917,-71.064114
123,42.36679,-71.05916
124,42.353067,-71.062842
125,42.32019,-71.05715
126,42.363922,-71.06615
127,42.36001,-71.07057
128,42.363922,-71.06615
129,42.352038,-71.057542
130,42.27788,-71.12172
131,42.35085,-71.05682
132,42.27788,-71.12172
133,42.28414,-71.08978
134,42.300965,-71.108558
135,42.353067,-71.062842
136,42.32295,-71.08186
137,42.25129,-71.11326
138,42.30697,-71.0659
139,42.3798,-71.06786
140,42.363922,-71.06615
141,42.30055,-71.0605
142,42.27086,-71.08491
143,42.352038,-71.057542
144,42.34424,-71.07242
145,42.32952,-71.05398
146,42.34125,-71.07039
147,42.28044,-71.05926
148,42.35085,-71.05682
149,42.308593,-71.11895
150,42.356884,-71.059129
151,42.363922,-71.06615
152,42.35983,-71.06902
153,42.356884,-71.059129
154,42.34179,-71.06803
155,42.29132,-71.15372
156,42.26969,-71.12047
157,42.363922,-71.06615
158,42.361728,-71.063264
159,42.35365,-71.06385
160,42.38047,-71.06535
161,42.32382,-71.07421
