Lat,Long
42.342049,-71.080765
42.31742,-71.09455
42.28824,-71.11313
42.27175,-71.16177
42.3594,-71.0587
42.27023,-71.1617
42.333614,-71.153143
42.333614,-71.153143
42.333614,-71.153143
42.333614,-71.153143
42.28371,-71.06052
42.333614,-71.153143
42.333614,-71.153143
42.31472,-71.08209
42.331689,-71.155635
42.34856,-71.062948
42.26588,-71.16268
42.34848,-71.038813
42.34848,-71.038813
42.353458,-71.062852
42.259499,-71.163854
42.32125,-71.092202
42.30052,-71.108863
42.320899,-71.092694
42.348784,-71.078009
42.365976,-71.030423
42.25902,-71.11502
42.314173,-71.100266
42.34856,-71.062948
42.36175,-71.135716
42.31192,-71.10241
42.348784,-71.078009
42.27152,-71.08918
42.34856,-71.062948
42.30416,-71.11004
42.29674,-71.11768
42.295843,-71.118649
42.353458,-71.062852
42.359276,-71.062359
42.29283,-71.12102
42.351541,-71.067431
42.29212,-71.12177
42.291329,-71.123264
42.29112,-71.12345
42.29094,-71.12367
42.28321,-71.07177
42.3594,-71.0587
42.286179,-71.12804
42.351541,-71.067431
42.28363,-71.13081
42.32158,-71.08486
42.351541,-71.067431
42.28224,-71.1323
42.28211,-71.13309
42.27979,-71.13493
42.31143,-71.08322
42.2693,-71.14869
42.26889,-71.14924
42.26889,-71.14924
42.34848,-71.038813
42.36635,-71.05514
42.27763,-71.10747
42.34848,-71.038813
42.26799,-71.15106
42.344195,-71.03343
42.28512,-71.12354
42.26602,-71.1515
42.3124,-71.11071
42.351541,-71.067431
42.26604,-71.15231
42.3594,-71.0587
42.26554,-71.15205
42.380951,-71.031366
42.26554,-71.15205
42.26554,-71.15205
42.34848,-71.038813
42.28366,-71.15774
42.26554,-71.15205
42.26248,-71.1553
42.353458,-71.062852
42.2619,-71.15603
42.2619,-71.15603
42.25921,-71.16013
42.25921,-71.16013
42.258514,-71.160918
42.34856,-71.062948
42.31325,-71.10015
42.36553,-71.02962
42.36553,-71.02962
42.33349,-71.04346
42.34856,-71.062948
42.360895,-71.067099
42.353458,-71.062852
42.353458,-71.062852
42.3782,-71.06541
42.34856,-71.062948
42.34872,-71.07826
42.380951,-71.031366
42.34848,-71.038813
42.34848,-71.038813
42.33453,-71.04643
42.34848,-71.038813
42.348784,-71.078009
42.351541,-71.067431
42.29158,-71.06625
42.37384,-71.06369
42.3594,-71.0587
42.351541,-71.067431
42.351541,-71.067431
42.313585,-71.116789
42.34848,-71.038813
42.32302,-71.05739
42.351541,-71.067431
42.29719,-71.05824
42.28457,-71.13412
42.33428,-71.05125
42.38015,-71.06843
42.380951,-71.031366
42.364249,-71.066169
42.35947,-71.1367
42.26498,-71.10863
42.34523,-71.1473
42.310917,-71.064114
42.363922,-71.06615
42.353067,-71.062842
42.32674,-71.05648
42.363922,-71.06615
42.363922,-71.06615
42.363922,-71.06615
42.353067,-71.062842
42.28163,-71.12039
42.353067,-71.062842
42.27544,-71.1269
42.27941,-71.08257
42.299744,-71.113309
42.353067,-71.062842
42.32291,-71.08507
42.25129,-71.11326
42.310917,-71.064114
42.3798,-71.06786
42.363922,-71.06615
42.30055,-71.0605
42.27086,-71.08491
42.353067,-71.062842
42.34424,-71.07242
42.32952,-71.05398
42.34424,-71.07242
42.28044,-71.05926
42.353067,-71.062842
42.31212,-71.117712
42.36023,-71.06649
42.363922,-71.06615
42.35983,-71.06902
42.35926,-71.06456
42.34179,-71.06803
42.28934,-71.15371
42.27271,-71.1289
42.363922,-71.06615
42.363922,-71.06615
42.353067,-71.062842
42.38076,-71.06688
42.32199,-71.07771
42.35315,-71.07177
42.363922,-71.06615
42.34022,-71.15401
42.3093,-71.133
42.363922,-71.06615
42.29991,-71.05426
42.27104,-71.08122
42.25907,-71.16134
42.373698,-71.059171
42.363922,-71.06615
42.363922,-71.06615
42.363922,-71.06615
42.33346,-71.04378
42.363922,-71.06615
42.33692,-71.05089
42.34424,-71.07242
42.339683,-71.144886
42.380716,-71.066923
42.29019,-71.0481
42.32056,-71.05536
42.33403,-71.10291
42.29417,-71.14954
42.35944,-71.06461
42.33222,-71.10708
42.26884,-71.16592
42.27852,-71.14966
42.32178,-71.09282
42.317893,-71.106822
42.30981,-71.10644
42.34689,-71.07274
42.31488,-71.11197
42.27394,-71.15229
42.26689,-71.10717
42.27096,-71.08074
42.377258,-71.03812
42.37944,-71.0698
42.30518,-71.07325
42.38008,-71.06868
42.33441,-71.04481
42.34672,-71.06967
42.338252,-71.082924
42.35158,-71.14038
42.35158,-71.14038
42.319826,-71.073544
42.27795,-71.13778
42.30148,-71.05805
42.31848,-71.05915
42.353458,-71.062933
42.353458,-71.062933
42.34657,-71.13904
42.275693,-71.094216
42.338252,-71.082924
42.31096,-71.1161
42.31266,-71.12351
42.31672,-71.0564
42.37513,-71.03637
42.26454,-71.11823
42.350697,-71.150705
42.30008,-71.12897
42.353936,-71.072264
42.26898,-71.1712
42.33448,-71.04643
42.375553,-71.064035
42.31918,-71.05615
42.28799,-71.15919
42.314957,-71.097842
42.27102,-71.10153
42.32562,-71.08055
42.33422,-71.04544
42.33422,-71.04544
